,time,height,delta_y,acceleration,velocity
0,0.05,0.99,0.010000000000000009,13.99999999999999,0.6000000000000005
1,0.1,0.96,0.040000000000000036,10.999999999999988,1.3
2,0.15,0.86,0.14,10.999999999999998,1.6999999999999993
3,0.2,0.79,0.20999999999999996,10.000000000000009,2.4
4,0.25,0.62,0.38,9.999999999999995,2.7
5,0.3,0.52,0.48,12.999999999999998,3.3999999999999995
6,0.35,0.28,0.72,-19.999999999999993,4.0
7,0.4,0.12,0.88,-52.99999999999999,1.4000000000000001
8,0.45,0.14,0.86,-44.999999999999986,-1.3
9,0.5,0.25,0.75,-17.000000000000004,-3.099999999999999
10,0.55,0.45,0.55,7.999999999999985,-3.0000000000000004
11,0.6,0.55,0.44999999999999996,12.00000000000001,-2.3000000000000007
12,0.65,0.68,0.31999999999999995,13.000000000000009,-1.7999999999999994
13,0.7,0.73,0.27,11.999999999999988,-0.9999999999999998
14,0.75,0.78,0.21999999999999997,9.999999999999996,-0.6000000000000005
15,0.8,0.79,0.20999999999999996,10.000000000000009,0.0
16,0.85,0.78,0.21999999999999997,9.999999999999996,0.40000000000000036
17,0.9,0.75,0.25,9.999999999999986,0.9999999999999998
18,0.95,0.68,0.31999999999999995,7.999999999999985,1.399999999999999
